asof,asof_quarter,horizon,target_quarter,call,grade,made_call,pred_delta,real_delta,pred_dir,real_dir,hit,conviction_pp,covid_target,consumer_stretched
2017-03-31,2017Q1,3,2017Q4,growth_qoq,abstain,False,,0.3385224962145772,no call,accelerating,,,False,False
2017-03-31,2017Q1,3,2017Q4,inflation_yoy,call,True,-0.018922694020136355,0.16312939955184613,decelerating,accelerating,0.0,0.018922694020136355,False,False
2017-03-31,2017Q1,3,2017Q4,inflation_qoq,call,True,-0.021178543668498584,0.3174870925466866,decelerating,accelerating,0.0,0.021178543668498584,False,False
2017-03-31,2017Q1,4,2018Q1,growth_yoy,call,True,-0.3023671064712685,0.3346665979973462,decelerating,accelerating,0.0,0.3023671064712685,False,False
2017-03-31,2017Q1,4,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-03-31,2017Q1,4,2018Q1,inflation_yoy,call,True,-0.11698774131867484,0.1408517422751463,decelerating,accelerating,0.0,0.11698774131867484,False,False
2017-03-31,2017Q1,4,2018Q1,inflation_qoq,call,True,-0.001850729585317623,0.047111037814961954,decelerating,accelerating,0.0,0.001850729585317623,False,False
2017-04-30,2017Q2,0,2017Q2,growth_yoy,call,True,-0.040285701128284224,0.2429520995615997,decelerating,accelerating,0.0,0.040285701128284224,False,False
2017-04-30,2017Q2,0,2017Q2,growth_qoq,split,True,-0.06065806169835275,0.07298235226935734,decelerating,accelerating,0.0,0.06065806169835275,False,False
2017-04-30,2017Q2,0,2017Q2,inflation_yoy,call,True,-0.34097488432580647,-0.6962729391697249,decelerating,decelerating,1.0,0.34097488432580647,False,False
2017-04-30,2017Q2,0,2017Q2,inflation_qoq,call,True,-0.23887698867881557,-0.5883637843055789,decelerating,decelerating,1.0,0.23887698867881557,False,False
2017-04-30,2017Q2,1,2017Q3,growth_yoy,call,True,-0.5859300804053946,0.08040761841630051,decelerating,accelerating,0.0,0.5859300804053946,False,False
2017-04-30,2017Q2,1,2017Q3,growth_qoq,lean,True,-0.2096099566722076,0.22865156824358746,decelerating,accelerating,0.0,0.2096099566722076,False,False
2017-04-30,2017Q2,1,2017Q3,inflation_yoy,call,True,0.2270673650109467,0.053553896562756,accelerating,accelerating,1.0,0.2270673650109467,False,False
2017-04-30,2017Q2,1,2017Q3,inflation_qoq,call,True,0.18268124574478684,0.3626667512592441,accelerating,accelerating,1.0,0.18268124574478684,False,False
2017-04-30,2017Q2,2,2017Q4,growth_yoy,call,True,-0.6144023041768198,0.5833220845871789,decelerating,accelerating,0.0,0.6144023041768198,False,False
2017-04-30,2017Q2,2,2017Q4,growth_qoq,abstain,False,,0.3385224962145772,no call,accelerating,,,False,False
2017-04-30,2017Q2,2,2017Q4,inflation_yoy,call,True,-0.007353192240514783,0.16312939955184613,decelerating,accelerating,0.0,0.007353192240514783,False,False
2017-04-30,2017Q2,2,2017Q4,inflation_qoq,call,True,-0.01994812163708115,0.3174870925466866,decelerating,accelerating,0.0,0.01994812163708115,False,False
2017-04-30,2017Q2,3,2018Q1,growth_yoy,call,True,0.018955481137705732,0.3346665979973462,accelerating,accelerating,1.0,0.018955481137705732,False,False
2017-04-30,2017Q2,3,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-04-30,2017Q2,3,2018Q1,inflation_yoy,call,True,-0.07577015714180435,0.1408517422751463,decelerating,accelerating,0.0,0.07577015714180435,False,False
2017-04-30,2017Q2,3,2018Q1,inflation_qoq,call,True,0.0016971209275684629,0.047111037814961954,accelerating,accelerating,1.0,0.0016971209275684629,False,False
2017-04-30,2017Q2,4,2018Q2,growth_yoy,call,True,-0.0623321115089448,-0.029847248237091506,decelerating,decelerating,1.0,0.0623321115089448,False,False
2017-04-30,2017Q2,4,2018Q2,growth_qoq,abstain,False,,-0.2825846608052629,no call,decelerating,,,False,False
2017-04-30,2017Q2,4,2018Q2,inflation_yoy,call,True,0.19984601702889293,0.4382436799120235,accelerating,accelerating,1.0,0.19984601702889293,False,False
2017-04-30,2017Q2,4,2018Q2,inflation_qoq,call,True,0.031628876398026584,-0.2982312149923949,accelerating,decelerating,0.0,0.031628876398026584,False,False
2017-05-31,2017Q2,0,2017Q2,growth_yoy,call,True,0.2935088156292398,0.2429520995615997,accelerating,accelerating,1.0,0.2935088156292398,False,False
2017-05-31,2017Q2,0,2017Q2,growth_qoq,split,True,-0.06065806169835275,0.07298235226935734,decelerating,accelerating,0.0,0.06065806169835275,False,False
2017-05-31,2017Q2,0,2017Q2,inflation_yoy,call,True,-0.5519636921642888,-0.6962729391697249,decelerating,decelerating,1.0,0.5519636921642888,False,False
2017-05-31,2017Q2,0,2017Q2,inflation_qoq,call,True,-0.4463216117549962,-0.5883637843055789,decelerating,decelerating,1.0,0.4463216117549962,False,False
2017-05-31,2017Q2,1,2017Q3,growth_yoy,call,True,-0.5878280343552866,0.08040761841630051,decelerating,accelerating,0.0,0.5878280343552866,False,False
2017-05-31,2017Q2,1,2017Q3,growth_qoq,lean,True,-0.2096099566722076,0.22865156824358746,decelerating,accelerating,0.0,0.2096099566722076,False,False
2017-05-31,2017Q2,1,2017Q3,inflation_yoy,call,True,0.17282565697489538,0.053553896562756,accelerating,accelerating,1.0,0.17282565697489538,False,False
2017-05-31,2017Q2,1,2017Q3,inflation_qoq,call,True,0.3373342453439454,0.3626667512592441,accelerating,accelerating,1.0,0.3373342453439454,False,False
2017-05-31,2017Q2,2,2017Q4,growth_yoy,call,True,-0.6172168132105638,0.5833220845871789,decelerating,accelerating,0.0,0.6172168132105638,False,False
2017-05-31,2017Q2,2,2017Q4,growth_qoq,abstain,False,,0.3385224962145772,no call,accelerating,,,False,False
2017-05-31,2017Q2,2,2017Q4,inflation_yoy,call,True,-0.006623687067393469,0.16312939955184613,decelerating,accelerating,0.0,0.006623687067393469,False,False
2017-05-31,2017Q2,2,2017Q4,inflation_qoq,call,True,0.03354335174587941,0.3174870925466866,accelerating,accelerating,1.0,0.03354335174587941,False,False
2017-05-31,2017Q2,3,2018Q1,growth_yoy,call,True,0.017780050789450996,0.3346665979973462,accelerating,accelerating,1.0,0.017780050789450996,False,False
2017-05-31,2017Q2,3,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-05-31,2017Q2,3,2018Q1,inflation_yoy,call,True,-0.07408372033976818,0.1408517422751463,decelerating,accelerating,0.0,0.07408372033976818,False,False
2017-05-31,2017Q2,3,2018Q1,inflation_qoq,call,True,0.0024659843343544097,0.047111037814961954,accelerating,accelerating,1.0,0.0024659843343544097,False,False
2017-05-31,2017Q2,4,2018Q2,growth_yoy,call,True,-0.3935238282313236,-0.029847248237091506,decelerating,decelerating,1.0,0.3935238282313236,False,False
2017-05-31,2017Q2,4,2018Q2,growth_qoq,abstain,False,,-0.2825846608052629,no call,decelerating,,,False,False
2017-05-31,2017Q2,4,2018Q2,inflation_yoy,call,True,0.4164669825447387,0.4382436799120235,accelerating,accelerating,1.0,0.4164669825447387,False,False
2017-05-31,2017Q2,4,2018Q2,inflation_qoq,call,True,0.03552764085834603,-0.2982312149923949,accelerating,decelerating,0.0,0.03552764085834603,False,False
2017-06-30,2017Q2,0,2017Q2,growth_yoy,call,True,0.09871217866412874,0.2429520995615997,accelerating,accelerating,1.0,0.09871217866412874,False,False
2017-06-30,2017Q2,0,2017Q2,growth_qoq,split,True,-0.06065806169835275,0.07298235226935734,decelerating,accelerating,0.0,0.06065806169835275,False,False
2017-06-30,2017Q2,0,2017Q2,inflation_yoy,call,True,-0.6490671641987615,-0.6962729391697249,decelerating,decelerating,1.0,0.6490671641987615,False,False
2017-06-30,2017Q2,0,2017Q2,inflation_qoq,call,True,-0.5418581753712237,-0.5883637843055789,decelerating,decelerating,1.0,0.5418581753712237,False,False
2017-06-30,2017Q2,1,2017Q3,growth_yoy,call,True,-0.586720421653486,0.08040761841630051,decelerating,accelerating,0.0,0.586720421653486,False,False
2017-06-30,2017Q2,1,2017Q3,growth_qoq,lean,True,-0.2096099566722076,0.22865156824358746,decelerating,accelerating,0.0,0.2096099566722076,False,False
